Benchmark Type,Test Name,Kernel ID,Thread block Limit SM,Thread block limit registers,Thread block limit shared memory,Thread block limit warps,Theoretical max active warps per SM,Theoretical occupancy,Achieved active warps per SM,Achieved occupancy,Unified L1 cache hit rate,Unified L1 cache hit rate for read transactions (global memory accesses),L2 cache hit rate,GMEM read requests,GMEM write requests,GMEM total requests,GMEM read transactions,GMEM write transactions,GMEM total transactions,Number of read transactions per read requests,Number of write transactions per write requests,L2 read transactions,L2 write transactions,L2 total transactions,DRAM total transactions,Total number of global atomic requests,Total number of global reduction requests,Global memory atomic and reduction transactions,GPU active cycles,SM active cycles,Warp instructions executed,Instructions executed per clock cycle (IPC),Total instructions executed per seconds (MIPS),Kernel execution time (ns),Unified L1 cache total requests,Unified L2 cache total requests
test,l1config-70_l2config-100,1,32.0,2.0,2.0,16.0,8.0,12.5,7.976811994203731,12.46376874094333,45.5256499930233,0.0,98.53571331481301,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546806388.0,250787048.0,797593436.0,17090108.0,0.0,0.0,0.0,30666176.0,30619760.26785714,2483027968.0,1.4458863296917943,1344.5516448263543,32977376.0,144965632.0,199401288.0
test,l1config-70_l2config-100,2,32.0,2.0,2.0,16.0,8.0,12.5,7.976875089820409,12.463867327844389,45.52292671401407,0.0,98.54237494321674,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546802116.0,250718748.0,797520864.0,17089912.0,0.0,0.0,0.0,30666468.0,30613170.64285714,2483027968.0,1.445873045514794,1344.8165515405453,32970880.0,144965632.0,199401773.0
test,l1config-70_l2config-100,3,32.0,2.0,2.0,16.0,8.0,12.5,7.9768385926929355,12.463810301082711,45.52429450922406,0.0,98.53532435603707,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546813936.0,250803128.0,797617064.0,17093012.0,0.0,0.0,0.0,30672858.0,30617780.839285713,2483027968.0,1.4455717123346,1344.65341929545,32974880.0,144965632.0,199386889.0
test,l1config-70_l2config-100,4,32.0,2.0,2.0,16.0,8.0,12.5,7.976875598467348,12.463868122605232,45.5244637844008,0.0,98.52657902955404,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546807056.0,250735460.0,797542516.0,17091336.0,0.0,0.0,0.0,30653191.0,30608674.76785714,2483027968.0,1.4464988455473031,1345.0619769842565,32964864.0,144965632.0,199378657.0
test,l1config-70_l2config-100,5,32.0,2.0,2.0,16.0,8.0,12.5,7.9768739262644885,12.463865509788263,45.52932061858241,0.0,98.55235191158108,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546803892.0,250757368.0,797561260.0,17086320.0,0.0,0.0,0.0,30657233.0,30616609.30357143,2483027968.0,1.4463079550432252,1344.3755331095508,32981696.0,144965632.0,199401203.0
test,l1config-70_l2config-100,6,32.0,2.0,2.0,16.0,8.0,12.5,7.976909931301825,12.463921767659102,45.526113446082064,0.0,98.54471993631893,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546812924.0,250750216.0,797563140.0,17086728.0,0.0,0.0,0.0,30674685.0,30622865.64285714,2483027968.0,1.4454853776654766,1344.1499166361439,32987232.0,144965632.0,199394067.0
test,l1config-70_l2config-100,7,32.0,2.0,2.0,16.0,8.0,12.5,7.9768634186452925,12.46384909163327,45.528326715127335,0.0,98.56148562495083,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546807612.0,250786880.0,797594492.0,17087736.0,0.0,0.0,0.0,30671590.0,30614150.589285713,2483027968.0,1.4456316154273,1344.233372863924,32985184.0,144965632.0,199384510.0
test,l1config-70_l2config-100,8,32.0,2.0,2.0,16.0,8.0,12.5,7.976849803001535,12.463827817189898,45.52614147804108,0.0,98.55008558155599,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546815596.0,250780072.0,797595668.0,17093044.0,0.0,0.0,0.0,30662620.0,30618499.089285713,2483027968.0,1.4460539528917642,1344.893563711537,32968992.0,144965632.0,199385046.0
test,l1config-70_l2config-100,9,32.0,2.0,2.0,16.0,8.0,12.5,7.976867271562798,12.463855111816873,45.520819860094136,0.0,98.5381649403929,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546809680.0,250784104.0,797593784.0,17089684.0,0.0,0.0,0.0,30671618.0,30614809.375,2483027968.0,1.4456301189677891,1344.0208406947822,32990400.0,144965632.0,199403634.0
test,l1config-70_l2config-100,10,32.0,2.0,2.0,16.0,8.0,12.5,7.976864461876517,12.463850721682059,45.523800135968834,0.0,98.54824207900683,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546809236.0,250738236.0,797547472.0,17104060.0,0.0,0.0,0.0,30682891.0,30611786.035714287,2483027968.0,1.4450990479926236,1344.3742287504506,32981728.0,144965632.0,199388517.0
test,l1config-70_l2config-100,11,32.0,2.0,2.0,16.0,8.0,12.5,7.976903785932375,12.463912165519336,45.52309933166285,0.0,98.53764379374404,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546811968.0,250764760.0,797576728.0,17088784.0,0.0,0.0,0.0,30669446.0,30612849.64285714,2483027968.0,1.4457326984237482,1344.1460048797267,32987328.0,144965632.0,199400258.0
test,l1config-70_l2config-100,12,32.0,2.0,2.0,16.0,8.0,12.5,7.976838622290627,12.463810347329105,45.52331033603772,0.0,98.56809783218384,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546796392.0,250719912.0,797516304.0,17105104.0,0.0,0.0,0.0,30667601.0,30615766.05357143,2483027968.0,1.445819239433021,1344.5790441293689,32976704.0,144965632.0,199388063.0
test,l1config-70_l2config-100,13,32.0,2.0,2.0,16.0,8.0,12.5,7.976842747488157,12.463816792950245,45.52616517258885,0.0,98.53249937851545,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546805544.0,250759820.0,797565364.0,17088992.0,0.0,0.0,0.0,30674238.0,30615134.17857143,2483027968.0,1.445506595151141,1344.9784178408077,32966912.0,144965632.0,199389675.0
test,l1config-70_l2config-100,14,32.0,2.0,2.0,16.0,8.0,12.5,7.976853679705883,12.463833874540441,45.52482377065118,0.0,98.53939705557792,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546804908.0,250773192.0,797578100.0,17105516.0,0.0,0.0,0.0,30668446.0,30620737.285714287,2483027968.0,1.445779603472713,1344.2503261765291,32984768.0,144965632.0,199394320.0
test,l1config-70_l2config-100,15,32.0,2.0,2.0,16.0,8.0,12.5,7.976858365979694,12.463841196843271,45.52449226152207,0.0,98.5430723715648,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546819948.0,250758456.0,797578404.0,17086308.0,0.0,0.0,0.0,30664973.0,30622442.5,2483027968.0,1.4459429935144184,1344.058648251695,32989472.0,144965632.0,199387685.0
test,l1config-70_l2config-100,16,32.0,2.0,2.0,16.0,8.0,12.5,7.976859041553842,12.46384225242788,45.52396114000416,0.0,98.53870605970695,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546805728.0,250777008.0,797582736.0,17132640.0,0.0,0.0,0.0,30671544.0,30623100.35714286,2483027968.0,1.4456334536022777,1344.8335195663958,32970464.0,144965632.0,199405345.0
test,l1config-70_l2config-100,17,32.0,2.0,2.0,16.0,8.0,12.5,7.976859887214593,12.4638435737728,45.5265832431751,0.0,98.51481117719526,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546813824.0,250761968.0,797575792.0,17099720.0,0.0,0.0,0.0,30680932.0,30615855.839285713,2483027968.0,1.4451910007402042,1344.1512205600095,32987200.0,144965632.0,199401844.0
test,l1config-70_l2config-100,18,32.0,2.0,2.0,16.0,8.0,12.5,7.976850331827123,12.463828643479879,45.52770087734396,0.0,98.54675633386114,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546806076.0,250782340.0,797588416.0,17086308.0,0.0,0.0,0.0,30659314.0,30617333.339285713,2483027968.0,1.446210128887241,1344.6899574785123,32973984.0,144965632.0,199392369.0
test,l1config-70_l2config-100,19,32.0,2.0,2.0,16.0,8.0,12.5,7.976887091336822,12.463886080213785,45.52511189185528,0.0,98.54957779462984,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546816708.0,250782448.0,797599156.0,17087380.0,0.0,0.0,0.0,30667289.0,30616646.32142857,2483027968.0,1.4458339723540838,1344.7212775016287,32973216.0,144965632.0,199400155.0
test,l1config-70_l2config-100,20,32.0,2.0,2.0,16.0,8.0,12.5,7.976857127727619,12.463839262074403,45.52471675016946,0.0,98.4893513530896,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546799600.0,250797832.0,797597432.0,17086204.0,0.0,0.0,0.0,30662754.0,30616578.75,2483027968.0,1.4460477159854972,1344.262063335761,32984480.0,144965632.0,199390006.0
test,l1config-70_l2config-100,21,32.0,2.0,2.0,16.0,8.0,12.5,7.976887629965932,12.46388692182177,45.523399186065966,0.0,98.53993327390957,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546809524.0,250772152.0,797581676.0,17092596.0,0.0,0.0,0.0,30669724.0,30611049.05357143,2483027968.0,1.4457192756545219,1344.9966955163022,32966464.0,144965632.0,199408153.0
test,l1config-70_l2config-100,22,32.0,2.0,2.0,16.0,8.0,12.5,7.976848427349893,12.463825667734207,45.52232696253797,0.0,98.53762379592439,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546810060.0,250779796.0,797589856.0,17090564.0,0.0,0.0,0.0,30669428.0,30610913.410714287,2483027968.0,1.4457331108920701,1344.5751298748557,32976800.0,144965632.0,199395320.0
test,l1config-70_l2config-100,23,32.0,2.0,2.0,16.0,8.0,12.5,7.976832589923341,12.46380092175522,45.52667227773951,0.0,98.53326979968128,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546800432.0,250749448.0,797549880.0,17089828.0,0.0,0.0,0.0,30661013.0,30615708.714285713,2483027968.0,1.44612940131835,1344.366402649001,32981920.0,144965632.0,199390368.0
test,l1config-70_l2config-100,24,32.0,2.0,2.0,16.0,8.0,12.5,7.976882983766724,12.463879662135506,45.52583646339351,0.0,98.56801260796095,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546806316.0,250746700.0,797553016.0,17085680.0,0.0,0.0,0.0,30669368.0,30609729.214285713,2483027968.0,1.4457361395952437,1344.2385892222571,32985056.0,144965632.0,199391861.0
test,l1config-70_l2config-100,25,32.0,2.0,2.0,16.0,8.0,12.5,7.976853169495345,12.463833077336476,45.52502072163646,0.0,98.5348134870711,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546806228.0,250759292.0,797565520.0,17091148.0,0.0,0.0,0.0,30668340.0,30610076.39285714,2483027968.0,1.4457844355727836,1344.7291077353761,32973024.0,144965632.0,199387308.0
test,l1config-70_l2config-100,26,32.0,2.0,2.0,16.0,8.0,12.5,7.976855971038252,12.463837454747269,45.52488485914844,0.0,98.54710817614897,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546807348.0,250761044.0,797568392.0,17088732.0,0.0,0.0,0.0,30668233.0,30619954.214285713,2483027968.0,1.4457895505626837,1344.629931512005,32975456.0,144965632.0,199395965.0
test,l1config-70_l2config-100,27,32.0,2.0,2.0,16.0,8.0,12.5,7.976880121319361,12.463875189561502,45.51933360603696,0.0,98.54516055087026,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546808940.0,250730800.0,797539740.0,17085244.0,0.0,0.0,0.0,30676934.0,30607562.98214286,2483027968.0,1.4453794055909395,1344.5568636551218,32977248.0,144965632.0,199380012.0
test,l1config-70_l2config-100,28,32.0,2.0,2.0,16.0,8.0,12.5,7.976850738707745,12.463829279230852,45.528156174470546,0.0,98.53366787262455,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546823616.0,250787340.0,797610956.0,17084332.0,0.0,0.0,0.0,30664164.0,30612960.80357143,2483027968.0,1.4459813652359919,1344.6547241963674,32974848.0,144965632.0,199393922.0
test,l1config-70_l2config-100,29,32.0,2.0,2.0,16.0,8.0,12.5,7.976864577685711,12.463850902633924,45.52610242632314,0.0,98.49347029890868,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546799708.0,250778228.0,797577936.0,17105296.0,0.0,0.0,0.0,30664289.0,30612897.910714287,2483027968.0,1.445975282209733,1344.7630398020594,32972192.0,144965632.0,199382260.0
test,l1config-70_l2config-100,30,32.0,2.0,2.0,16.0,8.0,12.5,7.9768450863710845,12.46382044745482,45.52237380490171,0.0,98.5484161045388,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546806104.0,250794568.0,797600672.0,17087572.0,0.0,0.0,0.0,30662087.0,30620409.125,2483027968.0,1.44607905433072,1344.5516448263543,32977376.0,144965632.0,199394200.0
test,l1config-70_l2config-100,31,32.0,2.0,2.0,16.0,8.0,12.5,7.976897466751551,12.463902291799299,45.52550605632985,0.0,98.56280084329377,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546809996.0,250776476.0,797586472.0,17085292.0,0.0,0.0,0.0,30661001.0,30616044.17857143,2483027968.0,1.4461301795428612,1344.6025301350462,32976128.0,144965632.0,199393732.0
test,l1config-70_l2config-100,32,32.0,2.0,2.0,16.0,8.0,12.5,7.976916651647843,12.463932268199756,45.52534754544896,0.0,98.56101563967533,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546810200.0,250735600.0,797545800.0,17096116.0,0.0,0.0,0.0,30661168.0,30614757.285714287,2483027968.0,1.4461227746526566,1344.6560290998177,32974816.0,144965632.0,199388180.0
test,l1config-70_l2config-100,33,32.0,2.0,2.0,16.0,8.0,12.5,7.976829486395226,12.46379607249254,45.52603516640269,0.0,98.54394958385862,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546804680.0,250752248.0,797556928.0,17088956.0,0.0,0.0,0.0,30660612.0,30621444.964285713,2483027968.0,1.446148633142208,1344.659943825365,32974720.0,144965632.0,199389088.0
test,l1config-70_l2config-100,34,32.0,2.0,2.0,16.0,8.0,12.5,7.976883078824223,12.463879810662847,45.52396795962766,0.0,98.54649912303975,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546808660.0,250749600.0,797558260.0,17088844.0,0.0,0.0,0.0,30681797.0,30621908.714285713,2483027968.0,1.445150339438245,1344.5764346238282,32976768.0,144965632.0,199389221.0
test,l1config-70_l2config-100,35,32.0,2.0,2.0,16.0,8.0,12.5,7.97689587439242,12.463899803738157,45.527144513821725,0.0,98.54898008237234,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,546816004.0,250794820.0,797610824.0,17102388.0,0.0,0.0,0.0,30668325.0,30617651.73214286,2483027968.0,1.4457846595001553,1344.616883097979,32975776.0,144965632.0,199400116.0
